날짜,순위,제목,가수
2023-04-15,1,I AM,IVE (아이브)
2023-04-15,2,Kitsch,IVE (아이브)
2023-04-15,3,꽃,지수(JISOO)
2023-04-15,4,Cupid,FIFTY FIFTY
2023-04-15,5,Ditto,NewJeans
2023-04-15,6,Hype Boy,NewJeans
2023-04-15,7,Teddy Bear,STAYC(스테이씨)
2023-04-15,8,OMG,NewJeans
2023-04-15,9,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-04-15,10,Love Me Like This,NMIXX
2023-04-15,11,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-04-15,12,CHRISTIAN,지올팍(Zior Park)
2023-04-15,13,Attention,NewJeans
2023-04-15,14,사건의 지평선,윤하(Younha/ユンナ)
2023-04-15,15,After LIKE,IVE (아이브)
2023-04-15,16,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-04-15,17,LOVE DIVE,IVE (아이브)
2023-04-15,18,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-04-15,19,밤이 무서워요 (Lonely Night),주주 시크릿
2023-04-15,20,Dangerously,Charlie Puth(찰리 푸스)
2023-04-15,21,심(心),DK(디셈버)
2023-04-15,22,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-04-15,23,When I Get Old,Christopher(크리스토퍼)
2023-04-15,24,Poppy (Korean Ver.),STAYC(스테이씨)
2023-04-15,25,오르트구름,윤하(Younha/ユンナ)
2023-04-15,26,Shut Down,BLACKPINK
2023-04-15,27,사랑인가 봐,멜로망스(MeloMance)
2023-04-15,28,Cupid (Twin Ver.),FIFTY FIFTY
2023-04-15,29,VIBE (feat. Jimin of BTS),태양
2023-04-15,30,Candy,NCT DREAM
2023-04-15,31,FEARLESS,LE SSERAFIM (르세라핌)
2023-04-15,32,Nostalgia,우디(Woody)
2023-04-15,33,너의 모든 순간,성시경
2023-04-15,34,ELEVEN,IVE (아이브)
2023-04-15,35,That's Hilarious,Charlie Puth(찰리 푸스)
2023-04-15,36,Cookie,NewJeans
2023-04-15,37,그라데이션,10CM
2023-04-15,38,STAY,The Kid LAROI
2023-04-15,39,Pink Venom,BLACKPINK
2023-04-15,40,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-04-15,41,TOMBOY,(여자)아이들
2023-04-15,42,Monologue,테이(Tei)
2023-04-15,43,Nxde,(여자)아이들
2023-04-15,44,Unholy,Sam Smith(샘 스미스)
2023-04-15,45,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-04-15,46,Say I Love You,우디(Woody)
2023-04-15,47,다정히 내 이름을 부르면,경서예지
2023-04-15,48,Off My Face,Justin Bieber(저스틴 비버)
2023-04-15,49,WHEN I MOVE,카라(Kara)
2023-04-15,50,사람 Pt.2 (feat. 아이유),Agust D
2023-04-15,51,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
