날짜,순위,제목,가수
2023-07-23,1,Super Shy,NewJeans
2023-07-23,2,ETA,NewJeans
2023-07-23,3,New Jeans,NewJeans
2023-07-23,4,Seven (feat. Latto) - Clean Ver.,정국
2023-07-23,5,Cool With You,NewJeans
2023-07-23,6,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2023-07-23,7,I AM,IVE (아이브)
2023-07-23,8,퀸카 (Queencard),(여자)아이들
2023-07-23,9,헤어지자 말해요,박재정
2023-07-23,10,ASAP,NewJeans
2023-07-23,11,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2023-07-23,12,Spicy,aespa
2023-07-23,13,Hype Boy,NewJeans
2023-07-23,14,Kitsch,IVE (아이브)
2023-07-23,15,Ditto,NewJeans
2023-07-23,16,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2023-07-23,17,Attention,NewJeans
2023-07-23,18,OMG,NewJeans
2023-07-23,19,손오공,세븐틴(SEVENTEEN)
2023-07-23,20,After LIKE,IVE (아이브)
2023-07-23,21,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-07-23,22,사건의 지평선,윤하(Younha/ユンナ)
2023-07-23,23,LOVE DIVE,IVE (아이브)
2023-07-23,24,Cupid,FIFTY FIFTY
2023-07-23,25,Seven (feat. Latto) - Explicit Ver.,정국
2023-07-23,26,꽃,지수(JISOO)
2023-07-23,27,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-07-23,28,Underwater,권은비
2023-07-23,29,Dangerously,Charlie Puth(찰리 푸스)
2023-07-23,30,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-07-23,31,HARD,SHINee (샤이니)
2023-07-23,32,Teddy Bear,STAYC(스테이씨)
2023-07-23,33,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-07-23,34,Thirsty,aespa
2023-07-23,35,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-07-23,36,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-07-23,37,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
2023-07-23,38,Roller Coaster,NMIXX
2023-07-23,39,주저하는 연인들을 위해,잔나비
2023-07-23,40,When I Get Old,Christopher(크리스토퍼)
2023-07-23,41,KNOCK,이채연
2023-07-23,42,Allergy,(여자)아이들
2023-07-23,43,심(心),DK(디셈버)
2023-07-23,44,사랑인가 봐,멜로망스(MeloMance)
2023-07-23,45,Summer (Feat. BE’O (비오)),Paul Blanco
2023-07-23,46,That's Hilarious,Charlie Puth(찰리 푸스)
2023-07-23,47,너의 모든 순간,성시경
2023-07-23,48,오르트구름,윤하(Younha/ユンナ)
2023-07-23,49,STAY,The Kid LAROI
2023-07-23,50,ISTJ,NCT DREAM
2023-07-23,51,Cookie,NewJeans
2023-07-23,52,여름날 (feat. 하현상),볼빨간사춘기
2023-07-23,53,잠깐 시간 될까,이무진
2023-07-23,54,ELEVEN,IVE (아이브)
2023-07-23,55,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2023-07-23,56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-07-23,57,빛이 나는 너에게,던 (DAWN)
2023-07-23,58,Shut Down,BLACKPINK
2023-07-23,59,Off My Face,Justin Bieber(저스틴 비버)
2023-07-23,60,TOMBOY,(여자)아이들
2023-07-23,61,그라데이션,10CM
2023-07-23,62,다정히 내 이름을 부르면,경서예지
2023-07-23,63,INVU,태연 (TAEYEON)
2023-07-23,64,FEARLESS,LE SSERAFIM (르세라핌)
2023-07-23,65,취중고백,김민석 (멜로망스)
2023-07-23,66,사실말야내가말야그게그러니까말이야,케이시
2023-07-23,67,Dynamite,방탄소년단
2023-07-23,68,Still With You,정국
2023-07-23,69,Candy,NCT DREAM
2023-07-23,70,Pink Venom,BLACKPINK
2023-07-23,71,사랑은 늘 도망가,임영웅
2023-07-23,72,특,Stray Kids (스트레이 키즈)
2023-07-23,73,해요 (2022),#안녕
2023-07-23,74,Cream Soda,EXO
2023-07-23,75,Love Me Like This,NMIXX
2023-07-23,76,나의 X에게,경서
2023-07-23,77,Monologue,테이(Tei)
2023-07-23,78,SOS,강다니엘(KANG DANIEL)
2023-07-23,79,물론,허각
2023-07-23,80,Nxde,(여자)아이들
2023-07-23,81,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-07-23,82,나의 바람 (Wind And Wish),비투비
2023-07-23,83,나에게 그대만이,탑현
2023-07-23,84,찬란한 하루,멜로망스(MeloMance)
2023-07-23,85,Heaven(2023),임재현
2023-07-23,86,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-07-23,87,도깨비불 (Illusion),aespa
2023-07-23,88,드라마,아이유(IU)
2023-07-23,89,사랑의 바보,제이세라(J-Cera)
2023-07-23,90,CHRISTIAN,지올팍(Zior Park)
2023-07-23,91,strawberry moon,아이유(IU)
2023-07-23,92,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-07-23,93,WHEN I MOVE,카라(Kara)
2023-07-23,94,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
2023-07-23,95,부동의 첫사랑,10CM
2023-07-23,96,Feel My Rhythm,Red Velvet (레드벨벳)
2023-07-23,97,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-07-23,98,Salty & Sweet,aespa
2023-07-23,99,Broken Melodies,NCT DREAM
2023-07-23,100,VIBE (feat. Jimin of BTS),태양
