순위,제목,가수
1,ETA,NewJeans
2,Super Shy,NewJeans
3,New Jeans,NewJeans
4,Seven (feat. Latto) - Clean Ver.,정국
5,Cool With You,NewJeans
6,Steal The Show (From “엘리멘탈”),Lauv(라우브)
7,ASAP,NewJeans
8,I AM,IVE (아이브)
9,헤어지자 말해요,박재정
10,퀸카 (Queencard),(여자)아이들
11,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
12,Spicy,aespa
13,Kitsch,IVE (아이브)
14,Hype Boy,NewJeans
15,Seven (feat. Latto) - Explicit Ver.,정국
16,Ditto,NewJeans
17,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
18,Attention,NewJeans
19,Underwater,권은비
20,손오공,세븐틴(SEVENTEEN)
21,HARD,SHINee (샤이니)
22,OMG,NewJeans
23,After LIKE,IVE (아이브)
24,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
25,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
26,사건의 지평선,윤하(Younha/ユンナ)
27,LOVE DIVE,IVE (아이브)
28,Dangerously,Charlie Puth(찰리 푸스)
29,Summer (Feat. BE’O (비오)),Paul Blanco
30,Cupid,FIFTY FIFTY
31,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
32,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
33,꽃,지수(JISOO)
34,한 페이지가 될 수 있게,DAY6 (데이식스)
35,ISTJ,NCT DREAM
36,Teddy Bear,STAYC(스테이씨)
37,Roller Coaster,NMIXX
38,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
39,Thirsty,aespa
40,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
41,여름날 (feat. 하현상),볼빨간사춘기
42,When I Get Old,Christopher(크리스토퍼)
43,사랑인가 봐,멜로망스(MeloMance)
44,KNOCK,이채연
45,주저하는 연인들을 위해,잔나비
46,심(心),DK(디셈버)
47,ANTIFRAGILE,LE SSERAFIM (르세라핌)
48,Allergy,(여자)아이들
49,Still With You,정국
50,Cream Soda,EXO
51,That's Hilarious,Charlie Puth(찰리 푸스)
52,너의 모든 순간,성시경
53,오르트구름,윤하(Younha/ユンナ)
54,사막에서 꽃을 피우듯,우디(Woody)
55,SOS,강다니엘(KANG DANIEL)
56,잠깐 시간 될까,이무진
57,사실말야내가말야그게그러니까말이야,케이시
58,Shut Down,BLACKPINK
59,빛이 나는 너에게,던 (DAWN)
60,ELEVEN,IVE (아이브)
61,TOMBOY,(여자)아이들
62,다정히 내 이름을 부르면,경서예지
63,그라데이션,10CM
64,Pink Venom,BLACKPINK
65,특,Stray Kids (스트레이 키즈)
66,STAY,The Kid LAROI
67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
68,나의 바람 (Wind And Wish),비투비
69,찬란한 하루,멜로망스(MeloMance)
70,Cookie,NewJeans
71,취중고백,김민석 (멜로망스)
72,Candy,NCT DREAM
73,INVU,태연 (TAEYEON)
74,Love Me Like This,NMIXX
75,Off My Face,Justin Bieber(저스틴 비버)
76,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
77,나의 X에게,경서
78,Monologue,테이(Tei)
79,FEARLESS,LE SSERAFIM (르세라핌)
80,Dynamite,방탄소년단
81,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
82,사랑인걸까,민서 (MINSEO)
83,사랑의 바보,제이세라(J-Cera)
84,물론,허각
85,해요 (2022),#안녕
86,Dance The Night (From Barbie The Album),Dua Lipa(두아 리파)
87,부동의 첫사랑,10CM
88,나에게 그대만이,탑현
89,Salty & Sweet,aespa
90,strawberry moon,아이유(IU)
91,Heaven(2023),임재현
92,Nxde,(여자)아이들
93,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
94,드라마,아이유(IU)
95,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
96,WHEN I MOVE,카라(Kara)
97,사랑은 늘 도망가,임영웅
98,도깨비불 (Illusion),aespa
99,Feel My Rhythm,Red Velvet (레드벨벳)
100,CHRISTIAN,지올팍(Zior Park)
