사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2023-06,1호선,0150,서울역,"1,355,284","1,285,303","211,835","201,772",2023-07-03 08:56:50
2023-06,1호선,0151,시청,"643,718","653,701","95,097","93,981",2023-07-03 08:56:50
2023-06,1호선,0152,종각,"939,341","932,306","144,553","136,786",2023-07-03 08:56:50
2023-06,1호선,0153,종로3가,"483,658","434,093","304,455","282,796",2023-07-03 08:56:50
2023-06,1호선,0154,종로5가,"468,448","468,041","261,653","251,271",2023-07-03 08:56:50
2023-06,1호선,0155,동대문,"224,118","214,290","126,694","126,827",2023-07-03 08:56:50
2023-06,1호선,0156,신설동,"287,698","276,137","119,031","115,041",2023-07-03 08:56:50
2023-06,1호선,0157,제기동,"231,277","219,395","275,258","295,752",2023-07-03 08:56:50
2023-06,1호선,0158,청량리(서울시립대입구),"345,435","338,983","261,650","265,212",2023-07-03 08:56:50
2023-06,1호선,0159,동묘앞,"143,230","148,422","156,934","157,665",2023-07-03 08:56:50
2023-06,2호선,0201,시청,"659,576","632,170","59,548","54,214",2023-07-03 08:56:50
2023-06,2호선,0202,을지로입구,"1,238,072","1,281,501","102,362","95,816",2023-07-03 08:56:50
2023-06,2호선,0203,을지로3가,"616,126","612,805","75,842","73,391",2023-07-03 08:56:50
2023-06,2호선,0204,을지로4가,"317,767","325,578","81,326","79,822",2023-07-03 08:56:50
2023-06,2호선,0205,동대문역사문화공원(DDP),"366,275","425,225","58,664","63,011",2023-07-03 08:56:50
2023-06,2호선,0206,신당,"335,723","353,521","95,285","97,440",2023-07-03 08:56:50
2023-06,2호선,0207,상왕십리,"350,339","333,519","67,740","68,582",2023-07-03 08:56:50
2023-06,2호선,0208,왕십리(성동구청),"410,633","360,171","52,833","46,800",2023-07-03 08:56:50
2023-06,2호선,0209,한양대,"305,324","337,457","13,874","14,861",2023-07-03 08:56:50
2023-06,2호선,0210,뚝섬,"619,328","656,344","62,607","62,501",2023-07-03 08:56:50
2023-06,2호선,0211,성수,"998,837","1,116,691","98,780","100,544",2023-07-03 08:56:50
2023-06,2호선,0212,건대입구,"993,212","1,062,510","94,488","98,436",2023-07-03 08:56:50
2023-06,2호선,0213,구의(광진구청),"588,174","566,973","105,836","106,636",2023-07-03 08:56:50
2023-06,2호선,0214,강변(동서울터미널),"810,925","769,275","123,619","119,505",2023-07-03 08:56:50
2023-06,2호선,0215,잠실나루,"340,672","328,163","90,236","89,991",2023-07-03 08:56:50
2023-06,2호선,0216,잠실(송파구청),"2,011,091","1,994,423","213,227","202,257",2023-07-03 08:56:50
2023-06,2호선,0217,잠실새내,"569,815","571,318","114,410","113,165",2023-07-03 08:56:50
2023-06,2호선,0218,종합운동장,"468,960","545,940","55,664","59,107",2023-07-03 08:56:50
2023-06,2호선,0219,삼성(무역센터),"1,476,671","1,490,899","120,364","112,574",2023-07-03 08:56:50
2023-06,2호선,0220,선릉,"1,320,905","1,164,994","223,864","196,272",2023-07-03 08:56:50
2023-06,2호선,0221,역삼,"1,222,972","1,405,235","144,973","148,302",2023-07-03 08:56:50
2023-06,2호선,0222,강남,"2,123,826","2,064,342","156,377","136,556",2023-07-03 08:56:50
2023-06,2호선,0223,교대(법원.검찰청),"717,012","862,373","149,235","177,718",2023-07-03 08:56:50
