사용월,호선명,역ID,지하철역,4_승차,4_하차,5_승차,5_하차,6_승차,6_하차,7_승차,7_하차,8_승차,8_하차,9_승차,9_하차,10_승차,10_하차,11_승차,11_하차,12_승차,12_하차,13_승차,13_하차,14_승차,14_하차,15_승차,15_하차,16_승차,16_하차,17_승차,17_하차,18_승차,18_하차,19_승차,19_하차,20_승차,20_하차,21_승차,21_하차,22_승차,22_하차,23_승차,23_하차,0_승차,0_하차,1_승차,1_하차,2_승차,2_하차,3_승차,3_하차
2023-06,1호선,150.0,서울역,677,33,"8,470","9,569","13,528","54,052","44,183","113,306","71,942","230,058","62,358","158,800","62,129","79,897","76,826","72,488","88,739","80,817","89,071","79,566","70,932","70,521","99,716","77,031","116,360","77,902","169,393","90,610","222,155","93,439","114,624","64,337","82,655","46,240","85,029","41,138","59,714","29,237","26,064","14,949","2,554","2,856",0,229,0,0,0,0
2023-06,1호선,151.0,시청,61,1,"2,351","4,528","3,862","24,513","7,856","75,117","9,994","196,298","13,148","95,015","15,767","44,656","22,415","43,625","23,828","40,466","29,933","38,602","38,735","30,780","48,603","27,391","59,537","27,259","92,239","28,888","160,602","27,626","62,802","13,359","54,797","8,730","49,768","8,498","31,635","6,684","10,547","4,535",334,"1,075",0,36,1,0,0,0
2023-06,1호선,152.0,종각,95,4,"4,145","5,411","4,357","28,581","6,780","111,809","10,829","267,405","13,204","152,751","18,361","65,159","28,125","59,443","34,377","51,250","43,322","50,375","53,128","42,499","65,571","37,074","76,581","41,544","147,161","45,623","221,346","50,285","93,503","25,623","79,938","12,524","87,844","9,333","65,328","6,826","28,697","4,703","1,202",870,0,0,0,0,0,0
2023-06,1호선,153.0,종로3가,259,8,"4,585","3,292","3,959","13,393","5,709","26,815","9,600","71,097","14,204","68,097","22,137","58,317","31,634","66,436","42,887","66,051","48,939","60,644","56,707","52,027","64,333","43,945","70,273","41,912","82,371","42,153","98,962","42,571","59,853","22,441","51,248","12,496","55,970","9,802","43,393","7,814","19,488","5,448","1,601","2,109",1,21,0,0,0,0
2023-06,1호선,154.0,종로5가,74,1,"2,016","3,879","3,261","16,721","6,253","43,020","10,213","99,542","15,470","64,680","24,666","61,507","37,919","65,258","47,567","58,663","54,878","54,004","61,906","49,660","65,087","43,042","66,802","39,678","86,685","36,513","97,751","33,806","50,295","19,575","36,593","10,894","34,150","8,211","21,494","5,939","6,735","3,739",286,980,0,0,0,0,0,0
2023-06,1호선,155.0,동대문,854,33,"11,997","2,157","9,533","7,157","14,547","12,915","19,972","21,194","19,097","22,681","17,826","24,591","19,536","26,628","23,223","25,125","24,470","23,439","25,993","21,696","26,220","20,914","26,268","20,127","25,402","20,540","23,209","20,502","16,881","19,877","15,112","14,219","13,905","13,481","11,120","11,886","5,020","9,146",624,"2,562",3,247,0,0,0,0
2023-06,1호선,156.0,신설동,494,24,"9,258","2,481","9,513","8,392","22,078","24,315","31,187","56,906","20,470","34,297","17,952","21,519","20,006","18,884","21,803","18,649","23,704","19,072","22,387","17,836","23,993","19,732","28,616","21,077","39,748","23,354","52,836","29,596","21,194","21,899","15,162","14,110","12,662","14,479","9,272","12,540","3,958","9,722",434,"2,294",1,0,1,0,0,0
2023-06,1호선,157.0,제기동,421,7,"5,445","2,262","9,450","9,757","23,511","20,893","32,601","40,537","24,861","36,448","27,530","40,643","34,821","43,876","37,799","46,077","38,679","45,813","42,275","42,225","45,446","37,034","45,836","32,545","43,630","28,576","40,073","28,625","21,363","18,533","14,281","12,093","9,651","11,265","6,388","9,923","2,340","6,633",134,"1,382",0,0,0,0,0,0
2023-06,1호선,158.0,청량리(서울시립대입구),"1,056",22,"11,443","3,695","16,617","17,798","40,233","18,618","48,730","38,102","32,999","36,571","31,642","39,156","36,091","42,471","40,493","41,926","41,785","44,123","42,492","44,131","46,459","43,737","51,400","41,254","50,577","41,915","42,956","49,822","24,472","32,372","19,564","19,673","14,950","18,436","9,259","16,054","3,640","10,510",227,"3,809",0,0,0,0,0,0
2023-06,1호선,159.0,동묘앞,228,2,"3,088","1,143","3,886","5,140","7,501","10,488","11,893","22,675","10,793","18,518","13,005","23,500","17,767","28,279","23,987","29,687","29,416","33,153","31,064","28,148","31,767","25,138","32,152","19,501","30,780","15,343","23,605","11,757","11,718","8,290","6,840","6,025","5,526","5,893","3,686","6,936","1,351","4,379",111,"1,761",0,331,0,0,0,0
2023-06,2호선,201.0,시청,69,0,778,"1,797","2,283","18,928","5,567","71,426","8,393","218,962","12,547","89,351","17,955","33,382","23,967","30,298","25,853","28,752","30,557","30,242","36,592","25,128","43,117","23,000","52,652","21,450","103,887","24,377","166,113","24,328","59,663","12,294","46,820","8,307","43,037","9,085","27,180","8,159","10,713","5,224","1,377","1,780",4,114,0,0,0,0
2023-06,2호선,202.0,을지로입구,51,0,"2,603","3,144","4,216","28,666","10,711","131,501","18,226","344,908","25,650","163,642","32,123","76,676","41,953","70,374","47,130","62,181","58,104","63,604","66,124","55,755","78,773","55,688","91,480","56,117","168,502","64,018","288,115","64,562","122,298","39,811","109,099","27,980","80,318","26,784","64,582","22,417","26,585","13,590","3,786","5,026",5,873,0,0,0,0
2023-06,2호선,203.0,을지로3가,23,4,"1,334","1,852","2,729","19,421","6,437","72,850","12,429","178,573","16,444","70,732","20,730","32,528","24,028","27,560","24,935","25,913","27,541","27,770","32,330","24,999","36,100","24,222","43,681","27,215","90,584","33,735","141,068","39,939","54,834","25,842","41,450","15,959","45,710","14,427","40,649","12,380","24,722","8,140","4,205","2,065",5,70,0,0,0,0
2023-06,2호선,204.0,을지로4가,19,1,"1,008","1,389","1,947","13,624","5,917","36,584","11,128","79,062","12,340","39,472","14,982","26,353","18,551","25,807","19,777","23,128","22,022","21,488","24,576","20,035","27,158","18,072","33,029","17,703","57,331","18,387","68,832","19,309","28,770","12,092","18,632","8,672","15,592","8,206","11,060","8,348","5,461","5,866",959,"1,762",2,40,0,0,0,0
2023-06,2호선,205.0,동대문역사문화공원(DDP),218,4,"5,015","1,436","4,241","9,235","7,423","23,457","12,664","49,466","14,194","34,022","15,350","29,912","18,759","29,996","21,132","28,643","22,540","29,780","27,032","28,829","32,975","27,080","39,167","26,271","45,014","28,695","46,498","33,382","28,869","29,957","23,965","23,343","26,375","21,237","20,084","18,353","11,282","11,522","2,142","3,543",0,73,0,0,0,0
