제작자,차명,생산기간(from),생산기간(to),리콜개시일,리콜사유
포르쉐코리아 주식회사,파나메라 E 하이브리드,2018-09-24,2018-11-14,2019-02-18,"수분 또는 습기가 브레이크 라인에 유입으로 인하여 브레이크 마스터 실린더와 유압 장치 사이에 있는 브레이크 라인에 부식이 발생할 가능성이 있고, 이로 인해 녹 입자가 유압 장치 (ABS Module) 안쪽의 필터에 쌓여 막히게 될 우려가 있음을 발견하였습니다."
메르세데스벤츠코리아(주),C 220d,2018-06-29,2018-07-24,2019-02-28,"센터 콘솔 적재함 사고잠금 시스템(crashlock-system)의 결함으로 센터 콘솔이 제대로 잠기지 않을 수 있고, 이로인해, 후방 추돌 사고시 센터 콘솔 적재함이 열릴 수도 있습니다."
메르세데스벤츠코리아(주),C 220d 4MATIC,2018-07-24,2018-07-26,2019-02-28,"센터 콘솔 적재함 사고잠금 시스템(crashlock-system)의 결함으로 센터 콘솔이 제대로 잠기지 않을 수 있고, 이로인해, 후방 추돌 사고시 센터 콘솔 적재함이 열릴 수도 있습니다."
(주)재규어랜드로버코리아,레인지로버,2018-01-31,2018-12-17,2019-03-04,"배터리 상태가 정상적이지 않은 상황에서 시동시 순간전압이 비정상적으로 낮게(7.5V 이하) 떨어지면, 로컬 상호접속망(LIN)과 차체컨트롤 모듈(BCM) 간 통신 오류가 발생 가능."
(주) 한국모터트레이딩,XP530-TMAX,2017-03-11,2018-07-31,2019-03-06,"드라이브 벨트의 경량화로 인해 내구성이 부족하여, 외부 충격에 의한 손상을 입은 상태로 지속적인 주행을 하거나, 급가속 혹은 급정지로 인한 부하가 반복적으로 가해지면, 벨트가 완전히 파손될 가능성"
(주) 한국모터트레이딩,XP530-TMAX,2017-03-11,2018-07-31,2019-03-06,"정차 상태 혹은 저속 주행 시, 스로틀(자동차의 가속 페달)을 살짝 열었을 때 혼합기가 희박해져(공기 대비 연료가 부족함) 즉, 스로틀이 열려 공기는 공급이 됨과 동시에 인젝터에서 연료를 분사해야 하나 ECU에서 이를 감지하지 못하고 연료를 적절하게 분사하지 못해 시동 꺼짐 증상이 나타납니다."
비엠더블유코리아(주),BMW 118d,2012-06-14,2014-09-30,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 220d Coupe,2013-10-11,2014-04-14,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 320d,2011-10-18,2014-04-16,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 320d EfficientDynamics Edition,2011-11-08,2014-04-12,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 320d Gran Turismo,2013-02-26,2014-04-14,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 320d Touring,2012-06-18,2014-02-27,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 320d xDrive,2012-07-26,2014-03-29,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 320d xDrive Gran Turismo,2013-07-03,2014-04-15,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 320d xDrive Touring,2013-03-15,2014-03-26,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 325d,2013-07-11,2014-08-29,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 420d Coupe,2013-06-27,2014-04-15,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 420d xDrive Coupe,2014-01-21,2014-04-14,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 420d xDrive Gran Coupe,2014-03-14,2014-04-15,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
비엠더블유코리아(주),BMW 120d,2012-06-11,2014-02-06,2019-03-08,연료 공급호스 연결부의 조임장치(스프링 밴드식 클램프)의 불 충분한 표면 코팅으로 인한 부식
유한회사 모토로싸,Super Sport,2017-05-19,2017-05-19,2019-03-11,후방 미러 설계에 관한 구조적 문제(미러의 떨림을 잡아줄 수 있는 장치 없음)로 주행중 후방 미러에 진동 발생 가능성 있음.
유한회사 모토로싸,Super Sport S,2017-03-01,2018-09-06,2019-03-11,후방 미러 설계에 관한 구조적 문제(미러의 떨림을 잡아줄 수 있는 장치 없음)로 주행중 후방 미러에 진동 발생 가능성 있음.
한불모터스(주),DS7 Crossback 2.0 BlueHDi,2018-12-11,2018-12-11,2019-03-14,차량 생산과정 중 알맞지 않는 경차용 리어 허브 베어링이 공급사로부터 잘못 공급된 후 해당 차량에 장착
한불모터스(주),Peugeot 508 2.0 BlueHDi,2018-12-11,2018-12-11,2019-03-14,차량 생산과정 중 알맞지 않는 경차용 리어 허브 베어링이 공급사로부터 잘못 공급된 후 해당 차량에 장착
아우디폭스바겐코리아(주),A6 50 TFSI qu.,2015-02-20,2015-10-10,2019-04-12,"특정 기간에 생산된 저압 연료 레일(엔진 흡기구 연료 분사 기능)의 제조 공정 편차로 인한 접합 불량이 발생되어, 연료 레일 모듈 조립 후 사용 기간 중에 기밀성이 저하되어, 특정 부위(엔드 캡)에서 미세 누유가 발생할 가능성"
아우디폭스바겐코리아(주),A7 50 TFSI qu.,2015-02-26,2016-09-05,2019-04-12,"특정 기간에 생산된 저압 연료 레일(엔진 흡기구 연료 분사 기능)의 제조 공정 편차로 인한 접합 불량이 발생되어, 연료 레일 모듈 조립 후 사용 기간 중에 기밀성이 저하되어, 특정 부위(엔드 캡)에서 미세 누유가 발생할 가능성"
아우디폭스바겐코리아(주),A8 50 TFSI LWB qu.,2015-02-20,2015-10-10,2019-04-12,"특정 기간에 생산된 저압 연료 레일(엔진 흡기구 연료 분사 기능)의 제조 공정 편차로 인한 접합 불량이 발생되어, 연료 레일 모듈 조립 후 사용 기간 중에 기밀성이 저하되어, 특정 부위(엔드 캡)에서 미세 누유가 발생할 가능성"
아우디폭스바겐코리아(주),A3 40 TFSI,2018-05-09,2018-05-09,2019-03-15,"특정 기간 동안 연료 탱크 라인과 연료 펌프를 연결하는 커넥터 부품사의 제조 치수 편차로 인하여, 차량에 장착된 플러그인 커넥터 가이드 슬리브가 사용 기간 중 변형(일그러짐)될 가능성이 있습니다. 또한, 변형된 가이드 슬리브의 진동 마찰로 인해, 커넥터 체결력에 이상이 생길 수 있습니다."
포르쉐코리아 주식회사,카이엔,2018-11-29,2018-12-20,2019-03-15,"주조 상의 결함 (주물 결함)이 있는 충격 흡수 장치에 장착된 브라켓가 해당 차량에 장착 되어, 앞 좌측 쇽업소버에 장착된 브라켓의 강도가 약해져서 균열로 인한 내구성에 영향을 줄 수 있다는 우려를 발견 하였습니다."
한국토요타자동차(주),렉서스 LS500h AWD,2017-02-21,2018-04-11,2019-04-18,"런플랫 타이어와 휠의 조립 공정 중 타이어 측면에 과도한 압력이 가해져, 타이어 측면 내측의 보강층에 균열이 발생할 가능성이 있음."
한국토요타자동차(주),렉서스 LS500h 2WD,2017-02-20,2017-02-20,2019-04-18,"런플랫 타이어와 휠의 조립 공정 중 타이어 측면에 과도한 압력이 가해져, 타이어 측면 내측의 보강층에 균열이 발생할 가능성이 있음."
한국토요타자동차(주),렉서스 LS500 AWD,2017-07-26,2018-07-13,2019-04-18,"런플랫 타이어와 휠의 조립 공정 중 타이어 측면에 과도한 압력이 가해져, 타이어 측면 내측의 보강층에 균열이 발생할 가능성이 있음."
아우디폭스바겐코리아(주),A6 35(2.0) TDI,2014-07-01,2014-10-31,2019-03-29,결함 원인: 특정 기간의 조립 공정 중에 생산한 차량 중 보조 히터 엘리먼트(열선)의 전원 공급 커넥터가 불완전하게 체결되었을 수 있습니다. 보조 히터에 커넥터가 올바르게 장착되지 않은 경우 커넥터 부근에서 접촉 저항 증가하여 보조 히터가 정상 작동하지 않을 가능성이 있습니다.
아우디폭스바겐코리아(주),A6 45(3.0) TDI quattro,2014-07-01,2014-10-31,2019-03-29,결함 원인: 특정 기간의 조립 공정 중에 생산한 차량 중 보조 히터 엘리먼트(열선)의 전원 공급 커넥터가 불완전하게 체결되었을 수 있습니다. 보조 히터에 커넥터가 올바르게 장착되지 않은 경우 커넥터 부근에서 접촉 저항 증가하여 보조 히터가 정상 작동하지 않을 가능성이 있습니다.
아우디폭스바겐코리아(주),A7 45(3.0) TDI quattro,2014-07-01,2014-10-31,2019-03-29,결함 원인: 특정 기간의 조립 공정 중에 생산한 차량 중 보조 히터 엘리먼트(열선)의 전원 공급 커넥터가 불완전하게 체결되었을 수 있습니다. 보조 히터에 커넥터가 올바르게 장착되지 않은 경우 커넥터 부근에서 접촉 저항 증가하여 보조 히터가 정상 작동하지 않을 가능성이 있습니다.
아우디폭스바겐코리아(주),A7 55 TDI quattro,2014-07-01,2014-10-31,2019-03-29,결함 원인: 특정 기간의 조립 공정 중에 생산한 차량 중 보조 히터 엘리먼트(열선)의 전원 공급 커넥터가 불완전하게 체결되었을 수 있습니다. 보조 히터에 커넥터가 올바르게 장착되지 않은 경우 커넥터 부근에서 접촉 저항 증가하여 보조 히터가 정상 작동하지 않을 가능성이 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2018-07-12,2018-07-12,2019-03-15,리어스포일러의 위쪽 부분이 스포일러 본체에 제대로 용접되어 있지 않을 수 있습니다.
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,2018-07-11,2018-07-29,2019-03-15,리어스포일러의 위쪽 부분이 스포일러 본체에 제대로 용접되어 있지 않을 수 있습니다.
